Queries,Number of Overlapping Results,Percentage Overlap,Spearman Coefficient
Query 1,3,30.0,-8.5
Query 2,2,20.0,0.0
Query 3,2,20.0,-49.0
Query 4,2,20.0,-15.0
Query 5,1,10.0,1
Query 6,2,20.0,-64.0
Query 7,2,20.0,-25.0
Query 8,2,20.0,-24.0
Query 9,4,40.0,-4.4
Query 10,0,0.0,0
Query 11,2,20.0,-12.0
Query 12,0,0.0,0
Query 13,0,0.0,0
Query 14,0,0.0,0
Query 15,1,10.0,0
Query 16,4,40.0,-2.8
Query 17,4,40.0,-0.4
Query 18,1,10.0,0
Query 19,1,10.0,1
Query 20,0,0.0,0
Query 21,3,30.0,-1.0
Query 22,0,0.0,0
Query 23,1,10.0,0
Query 24,1,10.0,0
Query 25,3,30.0,-3.25
Query 26,0,0.0,0
Query 27,0,0.0,0
Query 28,3,30.0,-22.5
Query 29,3,30.0,-5.75
Query 30,2,20.0,-17.0
Query 31,4,40.0,-3.5
Query 32,1,10.0,0
Query 33,1,10.0,0
Query 34,2,20.0,-17.0
Query 35,0,0.0,0
Query 36,2,20.0,-3.0
Query 37,0,0.0,0
Query 38,1,10.0,0
Query 39,1,10.0,1
Query 40,2,20.0,-36.0
Query 41,3,30.0,-9.5
Query 42,3,30.0,-0.5
Query 43,0,0.0,0
Query 44,1,10.0,1
Query 45,3,30.0,-5.5
Query 46,1,10.0,0
Query 47,0,0.0,0
Query 48,4,40.0,-1.0
Query 49,4,40.0,-0.9
Query 50,1,10.0,1
Query 51,1,10.0,0
Query 52,4,40.0,-1.0
Query 53,2,20.0,-16.0
Query 54,1,10.0,0
Query 55,2,20.0,0.0
Query 56,3,30.0,0.25
Query 57,1,10.0,0
Query 58,3,30.0,0.5
Query 59,2,20.0,-1.0
Query 60,0,0.0,0
Query 61,1,10.0,0
Query 62,0,0.0,0
Query 63,2,20.0,-52.0
Query 64,1,10.0,1
Query 65,0,0.0,0
Query 66,0,0.0,0
Query 67,2,20.0,-39.0
Query 68,1,10.0,0
Query 69,1,10.0,1
Query 70,3,30.0,-5.0
Query 71,0,0.0,0
Query 72,0,0.0,0
Query 73,0,0.0,0
Query 74,2,20.0,-51.0
Query 75,4,40.0,-6.1
Query 76,5,50.0,-1.6
Query 77,2,20.0,-8.0
Query 78,0,0.0,0
Query 79,2,20.0,-57.0
Query 80,5,50.0,-2.6
Query 81,1,10.0,0
Query 82,0,0.0,0
Query 83,2,20.0,-36.0
Query 84,1,10.0,0
Query 85,2,20.0,-48.0
Query 86,2,20.0,0.0
Query 87,0,0.0,0
Query 88,1,10.0,0
Query 89,0,0.0,0
Query 90,4,40.0,-1.3
Query 91,2,20.0,-4.0
Query 92,1,10.0,0
Query 93,1,10.0,0
Query 94,4,40.0,-0.1
Query 95,3,30.0,-0.5
Query 96,0,0.0,0
Query 97,1,10.0,0
Query 98,3,30.0,-19.5
Query 99,2,20.0,-25.0
Query 100,0,0.0,0
